, GDP, PER, DEN
1,265.04,28647,11
2,233.73,34996,5.66
3,755.05,28536,129.59
4,1417.4,31101,388
5,625.41,27065,250
6,1882.3,36695,839.23
7,2336.9966,64710,373.85
8,887.43,53000,26.4
9,501.34,15076,309.12
10,699.6822,35571,76.48
11,668.5521,53136,71.41
12,434.2749,53425,85.55
13,980.3511,27363,114.09
14,1253.1,38267,632
15,3721.93,1322530000,80.67
16,1787.63,47565,211.98
17,551.9581,21444,541.81
18,891.9,55248,131.89
19,23685.7,106497,515.43
20,1164.6927,67656,179.53
21,1461.35,22230,336.7
22,2355.33,61189,402.69
23,942.61,18771,745.22
24,2709.0169,46408,322.05
25,5371.22,114308,848.58
26,854.7329,28852,173.11
27,912.6,34047,839
28,2012.0654,42682,268.65
29,10801.16,74273,1013.12
30,544.74,38014,192.88
31,1861.2749,43269,51.43
32,682.8231,33355,143.66
33,1305.7,32634,332.2
34,1350.76,24342,411.74
35,7731.6,110682,472.4
36,2983.5,110115,129.6
37,1053.4,30989,222.91
38,984.9,40850,155.66
39,1605.06,45701,659.79
40,2776.24,48504,566.71
41,304.9178,16525,153.5
42,6374.29,76812,3355
43,3450.64,163938,231.71
44,4226.1269,207163,18.1
45,730.01,68921,690.09
46,620.7,67972,153.9
47,8133.66,110054,1957
48,5618.0844,75259,534.91
49,1216.4773,58597,191.63
50,1105.14,27735,212
51,525.5376,29491,182.52
52,1267.45,16121,1030.84
53,213.04,18423,8
54,1973.87,23148,244
55,1005.61,31046,736.48
56,605.43,23263,186.99
57,18313.8,137793,1863
58,865.2035,20240,517.83
59,2891.1581,63003,574.61
60,1942.9002,36818,190
61,5751.2,59027,180.98
62,384.4,23653,129.17
63,1162,52501,716.15
64,5660.27,73102,627.35
65,618.0346,17841,126.96
66,782.83,25513,196
67,468.1077,23178,204.2
68,717.7,44806,774.52
69,265.6,24981,72.21
70,447.7,26575,24.58
71,2601.5749,35538,522.12
72,3090.52,101977,139.07
73,1598.95,63131,10.25
74,720.2,28176,268.87
75,2084.26,70894,839
76,1273.2479,26060,186.63
77,2772.94,57032,562.31
78,760.39,35057,791.68
79,770.622,26398,952.01
80,1589.24,27778,426.19
81,530.9,38794,152.6
82,1228.1,50053,584.77
83,3178.68,67046,419
84,514.7,28222,80.78
85,1328.52,27168,194
86,4013.12,48529,766.51
87,810.2,35069,72.77
88,3517.81,76850,893
89,190.0442,78336,68.14
90,2264.19,50143,475
91,1943.73,55090,913.78
92,1871.3,30945,1151
93,224.5161,69046,51.71
94,3402.34,71391,436.85
95,1327.3,43207,301.58
96,1040.2397,44994,232.36
97,1046.1155,31434,201.32
98,1388.46,47999,241.05
99,1590.5,42714,451.45
100,780.4408,47729,312
101,1909.4412,39645,271
102,544.7962,48918,5.77
103,1617.18,35575,859.71
104,670.1,131014,38.78
105,4008.94,60271,301.86
106,376.73,59223,17.96
107,557.6985,25667,198.34
108,665.83,49377,569.9
109,2095.99,56972,246.06
110,1301.23,39973,278.24
111,289.6117,20724,57.02
112,1103.2922,51676,153.78
113,2160.6,48977,697.31
114,1314.84,28276,78
115,1028.5818,55674,373.85
116,726.6404,59855,235.41
117,2663.62,44743,692.34
118,502.1223,20077,99.49
119,1161.109,26239,212.58
120,3763.17,36656,653.83
121,2298.6169,58869,205.41
122,1016.49,21524,390
123,1201.08,41618,335.89
124,1738.49,66865,162.09
125,315.1353,16637,102.73
126,1291.6626,33444,551.79
127,1353.41,31714,413.53
128,3506.98,52261,477.82
129,997.55,37987,995.54
130,955.8013,25003,182.21
131,1365.3,60802,565.57
132,2462.76,40607,532
133,1029.8632,34379,488.8
134,945.14,21817,274
135,1700.33,35754,269.16
136,1178.6,44799,67.48
137,4011.88,76104,701
138,1516.2,23881,594.69
139,10006.29,119883,991.35
140,3410.078,49360,332.81
141,1339.4345,50929,121.77
142,6256.1,85712,727.08
143,2884.33,28828,448.53
144,1198.5784,32080,779.8
145,8003.61,102374,598
146,1475.71,51598,259.44
147,925.18,75078,149.98
148,1256.5,87351,319.8
149,1323.6788,32842,639
150,347.6994,23223,208.59
151,912.39,48133,496
152,1655.6,57888,832.73
153,1336.21,37060,1024.36
154,514.0121,19789,55.08
155,212.7,24823,133.42
156,1270.33,24430,129.27
157,944.4,29560,332.18
158,9300.07,102519,694.03
159,1277.857,33392,201
160,609.4314,40387,98.45
161,1146.1322,53847,289.43
162,1650.2574,27045,224.18
163,6137.7,72421,655.47
164,1670.8,58110,552.34
165,1250.2849,55648,217.23
166,1713.05,67978,123.67
167,435.8,58468,301.93
168,3466,90379,1241.91
169,1872.6,33814,2525
170,760.7,25238,621
171,618.52,26274,130.11
172,1918.1242,26399,897.8
173,25659.18,103796,3809
174,1655.1528,24698,295
175,1066.63,36526,159
176,1386.9988,19156,394.14
177,4465.97,90003,535.09
178,18014.07,162599,5697
179,7272.3051,87833,567.65
180,1300.12,38431,146.03
181,482.6008,618450000,141.24
182,433.3,29230,64.99
183,901.1301,51256,152.47
184,1233.2487,37730,226.67
185,1637.3003,58841,131.82
186,14761.36,139127,770
187,1272.2,23095,157.43
188,785.26,35900,260.48
189,915.81,27868,712.14
190,3553.85,58917,634.36
191,2663.7573,61821,525.19
192,3158.39,56490,729.19
193,3746.35,80739,877.83
194,16538.2,107960,1315
195,553.7728,26976,257.06
196,740.9003,27885,231.04
197,1001.2129,45171,141.56
198,1877.27,60123,53.5
199,307.16,36322,216.38
200,911.6,57387,616.15
201,770.89,24712,242.74
202,3001.57,106922,439.88
203,5259.1,56780,553.6
204,1430.41,26729,424.09
205,4618.08,56841,671.19
206,559.8322,100871,263.63
207,913.7748,43221,50.28
208,2387.3124,74340,193.65
209,8685.91,133515,1039
210,2457.32,67592,638.9
211,405.5982,297560000,83.54
212,1078.5858,36104,273.28
213,10905.6,104132,967.44
214,416.1873,25819,57.16
215,5801.2,66938,808.16
216,1131.62,49178,262.4
217,1030.07,41234,307.66
218,2152.92,43365,518.21
219,1703.0972,60430,577.08
220,3382.12,60319,300.08
221,1457.2,29924,590.35
222,681.2,21731,122.06
223,1999.7487,34994,735.06
224,946.7964,81354,366
225,1879.6676,29351,460
226,2146.69,44275,687.47
227,1235.83,22415,653.99
228,5383.47,62246,874.63
229,2194.44,50700,1010.61
230,971.46,37610,227.4
231,502.58,32523,103.02
232,6446.08,91979,471.41
233,1198.27,53908,63.73
234,4212.5,58993,489.04
235,4075.92,90965,699.44
236,1235.16,49301,316
237,595.7008,42688,288.84
238,248.2,20413,36.89
239,1525.9,34060,415.94
240,3384.8,82360,187.47
241,1621.02,29457,296
242,1354.4119,30776,390.42
243,1493.859,69594,198.34
244,654.5356,56896,324
245,1513.8,61925,444.49
246,1418.1762,26222,285.27
247,2491.89,73453,86.41
248,1446.1253,25444,553.95
249,1244.523,52812,141.32
250,2886.28,51429,379.59
251,696.44,28397,316
252,1174.0143,22304,359.59
253,2031,52692,893.95
254,2363.31,32702,546
255,447.7004,29425,178.65
256,373.53,30704,31.01
257,2767.35,55569,389.75
258,5592.2,72592,366.13
259,8510.1328,115443,575.49
260,1195.3423,35029,242.52
261,708.3761,13097,266.93
262,1984.02,49016,273
263,3561.98,112225,708.33
264,7384.92,77179,1087.83
265,3052.79,9.54E+12,1799
266,316.8907,278570000,68.78
267,15790,53398,409.35
268,1092.9,95113,666.67
269,2094.07,23777,1040.05
270,2066.35,127227,943
271,2335.1075,58661,357.52
272,1812.25,26097,617.25
273,1270.38,35702,633.17
274,4130.24,89235,720.87
275,1143.11,41447,746.4
276,2168.34,35123,257.79
